City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,Kavaratti,10.5669,72.642,81.12,73,0,10.07,IN,1612131528
308,Port Blair,11.6667,92.75,78.58,83,32,10.74,IN,1612132123
309,Katsuura,35.1333,140.3,41.0,52,75,10.36,JP,1612131539
310,Strășeni,47.1414,28.6103,28.4,93,75,6.91,MD,1612131871
311,Bedēsa,8.9,40.7833,60.01,37,1,2.98,ET,1612131871
312,Maués,-3.3836,-57.7186,82.53,72,68,2.44,BR,1612131871
313,Borşa,47.6553,24.6633,24.01,84,100,4.65,RO,1612131871
314,Shubarshi,48.5872,57.1869,15.28,93,46,6.71,KZ,1612131872
315,Rincon,32.296,-81.2354,62.6,94,90,12.66,US,1612131698
316,Saint-Augustin,51.226,-58.6502,17.56,91,100,12.71,CA,1612131532
317,Pyapon,16.2833,95.6833,69.22,61,56,7.96,MM,1612131872
318,Lubao,14.9167,120.55,73.4,78,75,4.61,PH,1612131872
319,Hanna,51.6334,-111.9018,24.8,100,65,5.75,CA,1612131327
320,Vagay,57.9375,69.0217,5.07,95,58,3.8,RU,1612131873
321,Portland,45.5234,-122.6762,54.0,81,90,11.5,US,1612131987
322,Karpogory,64.0019,44.4451,15.75,97,100,5.59,RU,1612131873
323,Ridgecrest,35.6225,-117.6709,57.99,30,1,3.44,US,1612131874
324,Roald,62.5833,6.1333,28.99,93,65,6.91,NO,1612132127
325,Lafiagi,8.8667,5.4167,82.78,15,100,3.96,NG,1612131874
326,Shibganj,24.6829,88.1598,51.26,52,0,3.51,BD,1612131874
327,Otane,-39.8833,176.6333,71.01,50,3,4.0,NZ,1612131875
328,Tanete,-3.9443,119.7848,74.97,86,100,2.3,ID,1612131875
329,Guerrero Negro,27.9769,-114.0611,69.49,34,87,10.83,MX,1612131614
330,Homer,59.6425,-151.5483,21.2,63,1,8.05,US,1612131876
331,Merauke,-8.4667,140.3333,76.82,93,100,9.22,ID,1612131575
332,Jiancheng,30.391,104.5491,41.0,72,0,1.39,CN,1612131876
333,Bull Savanna,17.8868,-77.5902,77.38,74,18,16.78,JM,1612131876
334,Myaundzha,63.0494,147.1858,-24.03,82,100,4.81,RU,1612131876
